Question Key,Question Text,Response,true_or_false
21,Understanding when you can make benefit election changes.,"For most employees, the annual Open Enrollment is when you would review and update your benefit elections. But if you have a qualifying life event, for example,  getting married, having or adopting a baby, loss of coverage, or getting unmarried, then you would be eligible to make related changes during the plan year.",1
26,"What's the difference between ""pre-tax"" and ""post-tax""?","Pre-tax deductions are taken out before taxes.  This reduces the amount of income that you have to pay taxes on, called your taxable income. Post-tax deductions come out after taxes.",1
27,"Understanding the difference between ""pre-tax"" and ""post-tax"".","A ""pre-tax"" deduction is taken out of your paycheck before taxes. This reduces your taxable income, meaning you're left with more money in your pocket each pay period. That's a nice benefit!
A ""post-tax"" deduction is taken out of your paycheck after taxes. As a result, post-tax deductions have a greater impact on your paycheck that pre-tax deductions.",1
29,Adding family members to your plan.,"Got a change to your family? Getting married? Welcoming a new child to your household? All of these are qualifying life events that enable you to update your dependents and add them to your plans. Make sure you inform HR as soon as you can, since there are limitations to the timeframe in which these changes can be made.",1
30,What is a co-pay?,"A co-pay is a fixed, flat fee that you pay when you receive services. Your insurance company pays the rest of the charges for you.",1
31,Understanding co-pays.,"A co-pay is a fixed, flat fee that you pay when you receive services. Your insurance company pays the rest of the charges for you. For example, if you're feeling under the weather, you might decide to see your doctor. When you arrive, you'll only need to pay a co-pay to cover the visit. ",1
32,What is my co-pay?,"The co-pay for your medical plan (Alpha HSA) is $10 for office visits and $20 for specialist visits. If your plan has more than one network tier, such as both in-network and out-of-network, please refer to the Medical Drilldown within your Dashboard for more information about your plan's co-pays. ",1
33,How long can my children stay on my medical plan?,You can add or keep your children on your medical insurance until they turn 26 years old.,1
34,What is dental preventive care?,"Your dental plan (Beta Dental PPO) includes preventive and diagnostic care, which includes routine cleanings and exams.",1
35,Understanding dental preventive care.,"To encourage you to take good care of your teeth, preventive and diagnostic services are offered at little to no cost to you. Hopefully those routine exams and teeth cleanings will prevent the need for more expensive procedures later!",1
36,What does in-network mean?,A network is a group of doctors or other health care providers that have agreed to negotiated fees with an insurance carrier. Choosing an in-network doctor will cost you less.,1
37,Understanding the meaning of in-network.,"Some health care providers have agreed to be 'in-network' with an insurance carrier. This means they've agreed to negotiated fees. Be sure to choose an in-network provider whenever possible! You'll pay less out-of-pocket, which means more money in the bank. ",1
38,What is balance billing?,"Balance billing occurs when you are responsible for the difference between what your insurance pays and the provider charges. With your plan, if you visit an out-of-network provider, or dentists that are not in your plan network, you will be charged coinsurance, and you may be ‰ÛÏbalance billed‰Ûù.",1
39,Understanding balance billing.,"When you visit an in-network provider, the contracted rate is all they are allowed to charge you, so you generally won't have any surprises when you receive a bill. If you decide to visit an out-of-network provider, your insurance company sets an allowed amount for doctor or dentist services. That allowed amount is the ‰Û÷reasonable and customary‰Ûª rate for a specific service.  You pay your coinsurance, and your insurance carrier pays their portion of the coinsurance. However, if you decide to visit an out-of-network provider, they may charge you a much higher amount, resulting in balance billing. 
For example, say you visit an out-of-network doctor who bills you $1000 and your insurance company has a $400 allowance amount. If your coinsurance is 50%, then you would have to pay 50% of the $400 allowed amount plus the $600 difference between the bill and what your insurance company will pay for that particular service. That‰Ûªs a whopping $1000!
That‰Ûªs incentive enough to try to stay in-network whenever possible, and to always get estimates for more expensive procedures.",1
40,What is an out-of-pocket maximum?,"An out-of-pocket maximum is typically the highest amount you will pay per year for healthcare. Once you reach this maximum limit, the insurance company will pay your qualified medical expenses.",1
41,Understanding out-of-pocket maximums.,"Even if you have a lot of healthcare expenses, your plan has an out-of-pocket maximum, which is typically the most you will pay per year for healthcare. Once you reach this maximum limit, the insurance company will pay your qualified healthcare expenses.",1
42,What is a benefit premium?,"The premium is the amount withheld from each paycheck for each of your benefits. In exchange, the insurance company pays a portion of your qualified costs.",1
43,Understanding benefit premiums.,"When you enroll in your benefits plans, you agree to pay a certain amount, or premium, each month, just like you do with car or homeowners insurance. In exchange, the insurance company pays a portion of your qualified expenses.",1
44,What is short-term Disability insurance? ,"Short-Term Disability provides insurance for your paycheck. In the event you suffer from a qualified absence from work, such as illness, an injury, or even a pregnancy, Short-Term Disability would replace a percentage of your income for a period of time.",1
45,Understanding short-term Disability insurance.,"Say you suffered from a serious injury that prevented you from doing your job for a few weeks. That short-term disability plan will sure come in handy, covering a portion of your income while you focus on getting back on your feet!",1
47,What is long-term Disability insurance? ,long-term disability provides income protection for qualified long-term absences from work. It is often used together with short-term disability to provide more complete coverage in the case of a longer term absence.,1
48,Understanding long-term Disability insurance.,"long-term and short-term disability insurance work hand in hand. Short-term disability insurance provides income protection for a shorter, defined period of time, and long-term disability continues to provide income protection after the short-term disability payments run out.",1
51,What does semi-monthly mean?,"In payroll terms, semi-monthly means that you are paid twice per month, or a total of 24 paychecks per year.",1
52,"Understanding the meaning of ""semi-monthly"".","When you are paid semi-monthly, it means you receive a paycheck twice a month, or 24 times per year. Don't confuse this with bi-weekly, which means you receive a paycheck every two weeks, or 26 times per year.",1
53,What's the difference between gross pay and net pay?,"Gross pay refers to all of the money you've made while working at your job, before any deductions are taken for items such as state and federal taxes, Social Security and health insurance. 
Net pay is the amount you actually take home with each paycheck. In other words, it is the amount remaining after your employer withholds the deductions mentioned earlier. ",1
54,Understanding the difference between gross pay and net pay.,"What is the difference between gross pay and net pay? Easy - taxes and other deductions!
Your gross pay is the amount of money you are paid before any taxes or deductions are subtracted from your paycheck. Your net pay is reflected on your paycheck. It is the amount remaining after deductions like state and federal taxes, Social Security and health insurance are withheld.",1
55,What is a W-2 form?,"A W-2 is a tax form your employer gives to you at the end of each year. This form includes the total amounts of wages earned, federal and state taxes withheld, and contributions to Social Security for a given tax year. After receiving it, you or your tax advisor must submit this information when paying your annual taxes.",1
56,Understanding a W-2 form.,"Another year has come and gone. Hopefully, it was a prosperous one for you. Either way, that means another round of filing taxes.
To help you out, your employer provides you with a W-2 form. This form contains important information - the total wages that you earned, and how much was withheld for items like federal and state tax, social security and FICA, and other deductions and withholdings.",1
57,What's the difference between a  W-2 and a W-4?,"A W-4 is a tax form used to calculate the correct amount of federal income tax that should be withheld from your pay.
A W-2 is a tax form your employer gives to you at the end of each year. This form includes the total amounts of wages earned, federal and state taxes withheld, and contributions to Social Security for a given tax year. After receiving it, you or your tax advisor must submit this information when paying your annual taxes.",1
58,What are payroll deductions?,"Payroll deductions are amounts withheld from your paycheck by your employer. Common deductions are federal and state income taxes, social security, insurance policy contributions, or retirement plan contributions.",1
59,What are payroll withholdings?,"Payroll withholdings are amounts withheld from your paycheck by your employer. Common withholdings are FICA (Federal Insurance Contribution Act tax) which consists of Social Security, and Medicare taxes, and federal & state income taxes.",1
60,"What are the differences among ""exemptions"", ""allowances"" and ""deductions""?","These terms are interchangeable for W-4 purposes. They all refer to the number of allowances you can claim. Keep in mind, ""allowances"" does not necessarily mean ""dependents"" for tax purposes.  ",1
62,Understanding a W-4.,"What is a W-4? It's an IRS tax form that your employer asks you to fill out, so that they know how much federal income tax you want withheld from your pay. Be careful to fill it out properly. If too little federal tax is withheld, you could end up writing Uncle Sam a big check by April 1st. If too much is withheld, you'll feel the pinch with each paycheck.",1
63,How do I complete a W-4?,"The first part of the form is pretty easy! Complete your name, address and marital status. Then, you determine how many allowances you want to claim. The more you claim, the less money is withheld; the fewer, the more of your salary is withheld. Not sure what to do? Consult your tax advisor or check out the withholding calculator.",1
64,What is an I-9 form?,Form I-9 is a U.S. Citizenship and Immigration Services form. It is used to verify your identity and to verify that you are eligible to work in the United States.,1
65,Understanding an I-9 form.,"What is an I-9 form? It's a form from the U.S. Citizenship and Immigration Services. When you first join your company, your employer uses the information you provide on your I-9 to verify your identity and to verify that you are eligible to work in the United States.",1
66,How do I complete an I-9 form?,"You're responsible for completing Section 1 of the I-9, which asks for your personal information. Next, you'll need to bring in your documentation that proves your identity and right to work in the US for review. The documentation you bring must be on the USCIS approved lists. ",1
70,How does the annual maximum for my dental plan work?,"The annual maximum refers to the maximum amount an insurance plan will pay for dental treatment in a plan year. Your dental plan (Beta Dental PPO) has an annual maximum of $1,000. If you don't use the full amount in a plan year, the unused amount does not roll over. Keep in mind, your annual maximum starts over every year, so you'll still have coverage available to you.",1
71,Making the best use of your dental plan.,"With your dental plan, if you use less than your annual maximum, the unused coverage does not carry over into your next plan year.
For example, if your plan has an annual maximum of $1000, but you only use $600 of dental services this plan year, the unused portion of $400 would not be rolled over into your next plan year. 
So don't procrastinate if you need any dental work before the end of your plan year!",1
77,"I went to the doctor for a preventive check up. I thought my visit was 100% covered, but I got a bill. What happened?","Preventive services, such as a yearly exam or some immunizations, are 100% covered by your insurance when provided by an in-network doctor. However, if you ask your doctor about an illness you have at the time of exam, then the exam may be reclassified as diagnostic, and subject to regular office visit and service fees. ",1
78,I need to see a doctor. What should I do?,"Your plan allows you to see either in-network or out-of-network doctors, and still have coverage under the plan. Remember, seeing an in-network doctor will cost you less, and you don't risk being balance billed. Visit your medical carrier's website to locate an in-network doctor in your area. 
You may also want to add your doctor to your list of Expert contacts within the app.",1
79,What do I do if I want to change my Primary Care Physician?,"No problem! Visit your medical carrier's website to choose a new Primary Care Physician (PCP). Be sure to let your carrier know who your new PCP is, and check when the change goes into effect. 
You may also want to add this doctor to your list of Expert contacts within the app.",1
80,Understanding how to change your Primary Care Physician.,"Changing your Primary Care Physician is easy! Just visit your insurance company's website to review the doctors that are available in their doctor network, and chose the one that best meets your needs. Be sure to inform your insurance company of the change.",1
81,I need to see a specialist. What should I do? ,"Your plan allows you to see either in-network or out-of-network specialists without a referral, and still have coverage under the plan. Remember, seeing an in-network doctor will cost you less, and you don't risk being balance billed. Visit your medical carrier's website to locate an in-network doctor in your area.
",1
82,Understanding how to see a specialist.,"With your medical plan, you have the option to visit any specialist you like. However, you can save money by visiting a specialist within your insurance company's network of providers. Staying in-network can be a wise choice!",1
83,Which doctors can I see?,"With your plan, you're able to see any doctor you like. But remember! Seeing an in-network doctor will cost you less. If you visit an out-of-network provider, then you're going to be responsible for a greater portion of your medical costs. You also might be balance billed.",1
84,Understanding which doctors I can visit.,"Your plan allows you the flexibility to see any doctor that you like. But it still makes sense to check if your preferred doctor is ""in-network"" for your plan, since it will save you money.  That way, you can choose your doctor based upon what is most important to you.",1
85,What are our company holidays?,"To view our Holiday calendar, select your ""Dashboard"" icon from the menu bar at the bottom of the screen. The Holidays section displays the next upcoming holidays.",1
107,Why was I billed for a preventive care visit?,"If you see your in-network doctor or your Primary Care Physician for routine preventive services, such as a yearly exam, then your costs are 100% covered by your medical insurance. That's great! Keep in mind, if you ask your doctor questions about an illness or symptoms you have during the exam, then the exam can be considered ""diagnostic"" and subject to medical fees. ",1
108,What's the difference between preventive and diagnostic care?,"Preventive care includes services such as check-ups, some screening tests. Since these are preventive services, they assume you are not already sick or showing symptoms of an illness.
Diagnostic care includes services that help diagnose or monitor your condition or disease. ",1
109,Preventive and diagnostic care explained.,"In general, preventive care is is provided by your doctor when you're not sick, and you don't have any symptoms of being sick. Preventive care is super important! Make sure you take good care of your health by scheduling your wellness exams with your physician. 
Diagnostic care is provided by your doctor when you have signs or symptoms of a disease or condition, or if your doctor is monitoring an existing condition. ",1
110,"What does ""EXEMPT"" on the W-4 Form mean?","Claiming ""exempt"" on your W-4 means that you will not have any federal tax liability on your personal tax return for one year. Make sure you review your personal situation and/or consult a tax advisor before you claim ""exempt"". ",1
111,How does life insurance work?,"Life insurance is an agreement between you and an insurance company. In exchange for regular payments to the insurance company, you secure coverage in case something were to happen to you. If you pass away, the insurance company pays a sum of money to whomever you designate as your beneficiaries.",1
112,What is life insurance?,"What's life insurance? Easy! Life insurance is an contract between you and an insurance company. In exchange for regular payments, the insurance company agrees to pay a sum of money to your beneficiary if something were to happen to you. Your beneficiary can be your spouse or partner, your kids, or even a favorite charity. ",1
114,Where can I find a list of in-network dentists?,Good question! Visiting an in-network provider will cost you less. Visit the provider website to find a list of in-network dentists.,1
115,What is a provider?,"A provider is healthcare professional, such as a doctor or a dentist, that performs a healthcare service. A provider must be accredited, licensed, or certified to practice within the scope of their license.  ",1
116,What is a provider network?,"A provider network is a group of healthcare professionals, such as doctors or dentists, who have agreed to provide services to members in a health plan under a contract and for a contracted rate.",1
122,What is basic life insurance?,"Basic life insurance is paid by your employer on your behalf, to protect your family or loved ones. If something were to happen to you, your beneficiaries would receive your life insurance money to help cover final expenses. ",1
125,Why should I start investing in my retirement plan now? ,"Compound interest! The sooner you start contributing to your retirement plan, the sooner you can invest your money. With smart investing and compound interest, you'll earn even more money over time on the interest of your original contributions.",1
126,When is the best time to start investing in my retirement plan? ,"Right now! The sooner you start contributing, the more money you'll gain in the long run. With wise investing plus the power of compound interest, you'll earn profits on the money you put in and, over time, on the returns from your original investments. 
What is compound interest? It's interest earning interest. For example, suppose you saved and banked $100 a year ago. It earned $2 in interest last year. This year, you'll be earning interest on $102 - your original savings plus the interest earned. ",1
128,How does compound interest work?,"If you have an annual interest rate of 5% on a $100 investment, then by the end of your first year, your account would grow to $105. If you leave that money in the account, then by the end of the second year, that annual interest rate of 5% on the $105 would earn you $5.25 more. Your total would now be $110.25. So, by the end of the second year, not only did you earn interest on your original $100, but you also earned more from first year's interest. That‰Ûªs the power of compound interest!",1
133,What is diversification?,"Diversification is an investment risk management technique. By allocating your investment money, such as your retirement account, in a variety of assets, you lower your risk of losing your investment money. ",1
134,Understanding diversification. ,"Have you ever heard the saying, ‰ÛÏDon't put all of your eggs in one basket‰Ûù? 
Diversification is a investment risk management technique. By diversifying your investments into a wide variety of assets, you lower your risk of losing your investment money. Why? Because it's unlikely that all of your investments will lose money at the same time.",1
135,What is a budget?,"A budget is a personal plan that outlines your expected savings and spending. Basically, you plan how you will spend your money, and build your savings.  
",1
136,Why should I create a budget?,"A budget helps you decide what you must spend your money on, like food or housing, and if you can spend less or more money on other things. For example, you might want to skip your $5 fancy coffee for 10 days in order to have $50 more to put in a rainy-day fund. A budget helps you make sure you will have enough money every month. It helps to put you in control of your money.",1
137,How do I start creating a budget? ,You can start a budget by gathering your bills and paystubs. Use online banking? You might be able to download a summary of your income and expenses right from the website. Think about how you spend cash and write it down. You can use this Budget Worksheet to help you. ,1
138,How much money should I have in my emergency fund?,"Rainy days happen! Financial experts recommend that you have 3-6 months worth of savings in your emergency fund. For a single income household earning $60,000 per year, a good start would be a savings of roughly $10,500.",1
152,What is COBRA coverage?,"If you lose your employer's health coverage, you have the option to elect COBRA coverage. COBRA coverage basically allows you to continue your health coverage for a period of time, but instead of your employer paying for a portion of your coverage, you'll pay the entire cost plus an administrative fee. ",1
153,How do I build up an emergency fund?,"First, calculate the amount of money you'll need to save and the timeframe in which you'd like to save it. For example, if you need to save $10,000 for your emergency fund within 5 years, you'll need to save $167 per month. Next, dedicate the appropriate amount from your paycheck and set it aside, just as if you were paying a monthly bill. Remember, it's always best to pay yourself first. ",1
154,The value of creating a budget.,"A budget provides you with a view of your money flow - tracking money coming in, and money going out. By tracking your income and expenses, you can more confidently decide how to make smart financial decisions. 
A budget helps you make sure you will have enough money every month. It can also get you started on building up some emergency reserves. A basic budget reduces the likelihood of surprises, and decreases your stress level as a result. It helps to put you in control of your money.
",1
155,Understanding how to save for the unexpected.,"If you suddenly were not able to work, or were to lose your job, you'll want to have some money in reserve to help with the expense. That's what an emergency fund is for! Experts recommend you have 3-6 months worth of savings in an emergency fund. If your income is $60,000, a good start is saving $10,500. 
How will you get there? Well, the next step is to determine a reasonable amount of time to save. If you want to spread your savings over 5 years, you'll need to save about $167 per month. Next, set aside this amount from your paycheck, as if you were pay a bill. Instead, you're paying yourself first! Your future self will thank you. ",1
160,What is an annual maximum?,"Annual maximum (or annual max) is a term commonly used by dental insurance plans. The annual maximum refers to the maximum amount your insurance plan will pay for dental treatment in a plan year. The annual maximum for your dental plan is $1,000.
",1
161,Understanding dental annual maximums.,"An annual maximum refers to the maximum amount of money your insurance plan will pay for services in a year. 
For example, if you have a $1000 annual maximum on your dental plan, your insurance company will pay up to $1,000 worth of services that year. If you need more than $1,000 worth of services, you can either pay the difference, or wait until the next plan year begins to obtain less critical dental care as part of your plan. ",1
162,I need to see a dentist. What should I do? ,"Regular dental check ups are always a good idea! First, you'll want to check for an in-network dentist in your area. Don't be afraid to check reviews when choosing a dentist, or ask a family member, friend, or co-worker for a referral. If you choose to see a dentist that is out-of-network, you can still see them and your insurance will cover part of the bill. Keep in mind that seeing an in-network dentist will cost you less. Also, make sure you ask for a cost estimate ahead of time to prevent balance billing.",1
163,Visiting the dentist. ,"Regular dental exams are an important part of taking care of your health! 
If you need to see a dentist and you don't have one already, you can always check reviews online, or ask a trusted friend or co-worker for a referral. Be sure to check your insurance carrier's website for a list of in-network dentists! 
If you choose to see a dentist that is out-of-network, you can still see them and your insurance will cover part of the bill. Keep in mind that seeing an in-network dentist will cost you less. ",1
212,Can I take out a loan from my retirement account?,"You are able to loan yourself money from your retirement fund. According to the IRS, you can borrow either up to $50,000 or half of your vested balance, whichever is less. Keep in mind that, if at all possible, it's best to leave your retirement fund alone so it can be invested and grow for the future. ",1
213,Understanding loans from a retirement account.,"According to the IRS, you're able to loan yourself money from your retirement fund, up to certain limits. This provides you with a flexible way to borrow money.  Keep in mind, however, it's best to leave your retirement plan money alone so it can be invested, gain interest and create a nest egg for your retirement. 
If you leave your current job, you may have to pay back the entire loan balance within a much shorter time frame than anticipated. If you don't make those payments, you may be subject to taxes and penalties on the balance.",1
214,What is an index fund?,"An index fund is a mutual fund that is structured to follow the performance of a market index, such as the S&P 500. Generally, index funds are said to be lower cost and, since they follow the market, you'll know exactly the part of the market you're investing in. ",1
215,Understanding index funds.,"Index funds are generally a lower cost option for your retirement plan savings. An index fund follows the same investments as a market index, such as the S&P 500. Since these funds follow the market, you'll never outperform it - but you'll never underperform the market either. Once you add in the savings you can potentially receive from a lower cost account, an index fund might be the right choice for you. ",1
218,I'm over 50. Can I make additional retirement contributions?,"If you are age 50 or older, you can make additional contributions to your retirement plan to ensure you're saving enough for retirement. The maximum additional amount you can contribute is $6,000 per year.",1
219,Understanding catch-up contributions.,"A retirement plan catch-up contribution simply means that if you are age 50 or older, you're eligible to set aside additional pre-tax money for retirement, over the IRS limit. ",1
220,What is a stock?,"A stock is a part ownership of a company. The value of the stock depends on the value of the business, and will fluctuate up or down from day to day.",1
221,Understanding stocks.,"Simply put, a stock is a share in the ownership of a company. Your stock may grow or decline in value depending on the value of the company. ",1
222,What is a mutual fund?,"Mutual funds pool your money with other investors in order to purchase a portfolio of stocks, bonds, or similar assets. A money manager will make the investment decisions about these funds for you.",1
223,Understanding mutual funds.,"Mutual funds allow you to pool your money together with other investors to purchase a collection of stocks, bonds, or other assets that might be difficult to recreate on your own. This is often called a portfolio. A money manager will make the investment decisions about these funds on your behalf. ",1
224,What is a bond?,"A Bond is a type of investment where you, the investor, lend an amount of money to the government or to a company. The borrower agrees to pay you back the loan with interest within a certain amount of time.",1
225,Understanding bonds.,"A bond is a debt, or IOU, where you are the 'bank'. When you invest in a bond, you lend an amount of money to a company or the government. They promise to pay you back the loan with interest.  ",1
226,What is a money market fund?,"Money market funds are generally the safest form of investment. They yield a predictable but lower return, and are often a safe place to park your money when other forms of investment seem too risky.",1
227,Understanding money market funds.,"A money market fund generates a lower rate of return, which means you may make less money when compared to another type of investment. The good news is, money market funds are usually considered an investment safe bet.  If other forms of investment seem too risky, a money market fund might be worth looking into. ",1
228,What is a target date fund?,"Target date funds invest with a specific date in mind. Choosing the right fund is as simple as picking the plan with a target date closest to your retirement date. 
When you choose a target date fund, a money manager will gradually move your investments from more risky to more conservative as you approach your target date. ",1
229,Understanding target date funds. ,"As their name suggests, target date funds invest your money with a specific target date for your retirement in mind. If you're not sure what to invest in, this type of fund might be the best choice for you! Your money will be allocated from more risky investments to more conservative investments as you approach retirement. ",1
230,"What does the term ""allowed amount"" mean?","The ""allowed amount"" is the maximum amount that your insurance company will consider for each covered  healthcare service.  If your provider charges more than the allowed amount, you may have to pay the difference. 
Also see ""balance billing"".",1
231,"Understanding the term ""allowed amount."" ","Your insurance company has set an allowed amount that they will use to determine how much they will pay for healthcare services. The allowed amount is the maximum they will consider. Typically the insurance will pay a portion of the allowed amount, while you may pay a portion as well. ",1
232,"What are ""contracted rates""? ","Contracted rates are negotiated between healthcare providers and insurers. They are the amounts that insurance companies agree to pay healthcare providers in their network for various services. When you see an in-network provider, they will charge you based on the contracted rate, and your costs will be lower than if you see an out-of-network provider. ",1
233,Understanding contracted rates. ," When a healthcare provider, like a doctor or a dentist, agree to be ""in-network"" with an insurance company, they agree on contracted rates. Contracted rates are the amounts that insurance companies agree to pay providers for services. When you see an in-network provider, your costs will be lower, thanks to the negotiated rate. ",1
235,Understanding cost sharing. ,"What is cost sharing? Easy! Cost sharing means that you and your insurance company each pay a portion of the cost for your healthcare services. Common examples of cost sharing are a deductible, copays, or coinsurance.  ",1
236,"What are ""covered services""?","Covered services are the doctor visits, procedures, prescription drugs, or other services that are covered per your healthcare policy. ",1
237,Understanding covered services,"Not all healthcare is considered covered! For a service to be considered a covered service, it must be included in your plan's policy. If your service is covered, then your insurance carrier will typically pay a portion of the cost.  ",1
238,What is an Explanation of Benefits (EOB)? ,"After you receive healthcare services, such as visiting the doctor, your provider will submit a claim to your insurance company. After the claim is processed, the insurance company will send you an EOB (Explanation of Benefits). The EOB will give you information about the service that your provider sent in to be paid, how much your insurance paid toward the service and how much of the payment is your responsibility. ",1
239,Understanding EOB's (Explanation of Benefits). ,"An EOB, or Explanation of Benefits, is a very helpful form! After you go to the doctor or dentist, your healthcare provider will send a claim for payment to your insurance company. The insurance company will review the claim and determine how much they are responsible to pay, based on the terms of your policy, and how much you are responsible to pay. Then the insurance company will send you an EOB with details about the service that was sent for payment, such as how much was paid and how much you'll be billed by your provider. ",1
240,What is a participating provider?,"A participating provider, also referred to as an in-network provider, is a healthcare professional that has contracted with your insurance company to provide services to you at a negotiated, agreed upon rate.",1
241,Understanding participating providers.,"A participating provider, also referred to as an in-network provider, is a healthcare professional such as a doctor or dentist that has contracted with an insurance company. The contract stipulates that services will be provided to the insurance company's members (you!) at a negotiated rate.  ",1
242,What is preauthorization?,"Preauthorization is a process that helps your insurance company make sure that the services, prescriptions, etc. that are prescribed to you are medically necessary and covered by your plan. 
Remember to check with your insurance company for any unusual services to ensure you don't receive an unexpected bill. ",1
243,Understanding preauthorization.,"Preauthorization, sometimes called prior approval, ensures that your health plan will cover the services, prescriptions, treatment plan, or medical equipment is medically necessary for your situation. It authorizes you to obtain certain types of care and ensures they are appropriate for the condition or diagnosis and covered under your policy. 
Make sure you check with your insurance company for any out-of-the-ordinary services to ensure you aren't stuck paying an unexpected bill. ",1
246,What is the maximum I would pay for my medical expenses?,"The In-Network out-of-pocket maximum for your medical plan (Alpha HSA) is $1,000. ",1
247,How does my out-of-pocket maximum work?,"The In-Network out-of-pocket maximum for your medical plan (Alpha HSA) is $1,000. As you use your plan, applicable out-of-pocket expenses will be applied to your out-of-pocket maximum. Once your total out-of-pocket maximum has been met, Alpha will begin paying for the bulk of your qualified medical expenses.",1
2011,I'm moving from full-time status to part-time status. What options do I have to continue my health coverage?,"Full-time employees work 30 hours or more per week. If you work less than 30 hours, you're considered a part-time employee. If you're moving from full-time to part-time status, your medical, dental and vision benefits will last until the last day of the month you transition to a part-time role. If you want to continue your health coverage past that date, you have the option to elect COBRA coverage.",1
2018,When is Open Enrollment?,Open Enrollment generally occurs in November. You'll receive more specific information closer to the actual Open Enrollment period. ,1
2020,How do I enroll in benefits?,Visit Omega to enroll in your benefits.,1
2021,How do I update my beneficiaries?,Visit Omega to update your beneficiaries.,1
2035,I'm interested in taking a Leave of Absence. What should I do?,Please check with HR if you're interested in a Leave of Absence.,1
2041,What is Open Enrollment?,"Open Enrollment is the time of year you can make changes to your benefits. You can add a dependent, drop a dependent, or change your benefit plans! If you decide not to change your benefits during Open Enrollment, you may not be eligible to make changes until the following year's Open Enrollment, unless you have a Qualifying Life Event.",1
2042,Understanding Open Enrollment.,"Open Enrollment is a period of the year when you can enroll in, or elect changes to your health insurance or other company-sponsored benefits. You can add or drop a dependent, or make changes to your benefits. It's important that you carefully consider your elections, since you may have to live with them until the next year's Open Enrollment.",1
2044,Understanding how long my short-term disability policy will cover me.,"Most short-term disability plans provide partial income protection for a number of weeks. To reduce the risk of a longer absence from work, you might consider purchasing long-term disability insurance as a complement to your short-term disability plan.",1
2047,"If I change my mind, can I drop my insurance or change a plan anytime I want to?","You can only change your benefit choices once a year during Open Enrollment, or during the plan year if you have a Qualifying Event.",1
2048,Understanding when you can change an insurance plan or add/remove dependents.,"It's important to carefully consider your benefit choices during Open Enrollment, since you'll have to live with your decisions for the full plan year.
 
Qualifying life events are the exception. For instance, if you get married, have or adopt a child, or get divorced, you may have a limited time during the plan year to make a change to your benefits.",1
2050,How do I request vacation time off?,"To request time off, you'll need to submit a vacation request in Omega",1
2051,Is New Year's Eve a paid company holiday?,"Yes, New Year's Eve is one of our company holidays. Here's wishing you a Happy New Year!",1
